"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006790","sulfur compound metabolic process","11/25","269/18842",0.0408921933085502,30.8196282527881,17.9549467853534,1.52907618566581e-14,8.99096797171493e-11,8.99096797171493e-11,"56922/32/3141/686/5095/31/2194/8884/47/10560/64087",11
"GO:0015711","organic anion transport","9/25","440/18842",0.0204545454545455,15.4161818181818,11.1529784424858,2.79143588765566e-09,8.20682150970765e-06,8.20682150970765e-06,"5172/60482/6513/9963/6566/160728/116085/8884/10560",9
"GO:0015849","organic acid transport","8/25","332/18842",0.0240963855421687,18.1609638554217,11.4988470082257,7.11626358496482e-09,9.61102002058827e-06,9.61102002058827e-06,"5172/60482/6513/9963/6566/160728/8884/10560",8
"GO:0046942","carboxylic acid transport","8/25","332/18842",0.0240963855421687,18.1609638554217,11.4988470082257,7.11626358496482e-09,9.61102002058827e-06,9.61102002058827e-06,"5172/60482/6513/9963/6566/160728/8884/10560",8
"GO:0044272","sulfur compound biosynthetic process","6/25","119/18842",0.0504201680672269,38.0006722689076,14.7584980957518,8.97349043785682e-09,9.61102002058827e-06,9.61102002058827e-06,"32/5095/31/2194/47/10560",6
"GO:0071616","acyl-CoA biosynthetic process","5/25","56/18842",0.0892857142857143,67.2928571428571,18.1088294342692,9.80716328631456e-09,9.61102002058827e-06,9.61102002058827e-06,"32/5095/31/2194/47",5
"GO:0009081","branched-chain amino acid metabolic process","4/25","25/18842",0.16,120.5888,21.8088169136473,2.99147165111968e-08,2.51283618694053e-05,2.51283618694053e-05,"56922/5095/5096/64087",4
"GO:0010232","vascular transport","5/25","89/18842",0.0561797752808989,42.3415730337079,14.2492960789544,1.03496569298551e-07,6.76177586083867e-05,6.76177586083867e-05,"6513/6528/6566/8884/6526",5
"GO:0150104","transport across blood-brain barrier","5/25","89/18842",0.0561797752808989,42.3415730337079,14.2492960789544,1.03496569298551e-07,6.76177586083867e-05,6.76177586083867e-05,"6513/6528/6566/8884/6526",5
"GO:0006637","acyl-CoA metabolic process","5/25","106/18842",0.0471698113207547,35.5509433962264,13.0023301866282,2.4890597395461e-07,0.000139359631312471,0.000139359631312471,"32/5095/31/2194/47",5
"GO:0006084","acetyl-CoA metabolic process","4/25","42/18842",0.0952380952380952,71.7790476190476,16.7377555891598,2.6070679327163e-07,0.000139359631312471,0.000139359631312471,"32/31/2194/47",4
"GO:0006631","fatty acid metabolic process","7/25","390/18842",0.0179487179487179,13.5275897435897,9.11223454527852,5.37474794724349e-07,0.000244560647914295,0.000244560647914295,"32/5095/31/2194/6319/5096/47",7
"GO:0006814","sodium ion transport","6/25","242/18842",0.0247933884297521,18.6862809917355,10.0933310568892,6.09004813904708e-07,0.000244560647914295,0.000244560647914295,"60482/6528/9963/160728/8884/6526",6
"GO:0016054","organic acid catabolic process","6/25","243/18842",0.0246913580246914,18.6093827160494,10.0704588368267,6.23879203862998e-07,0.000244560647914295,0.000244560647914295,"56922/32/6566/5095/5096/64087",6
"GO:0046395","carboxylic acid catabolic process","6/25","243/18842",0.0246913580246914,18.6093827160494,10.0704588368267,6.23879203862998e-07,0.000244560647914295,0.000244560647914295,"56922/32/6566/5095/5096/64087",6
"GO:0051180","vitamin transport","4/25","55/18842",0.0727272727272727,54.8130909090909,14.5675779766123,7.85220234931181e-07,0.000288568436337209,0.000288568436337209,"6513/9963/8884/10560",4
"GO:1905039","carboxylic acid transmembrane transport","5/25","147/18842",0.0340136054421769,25.6353741496599,10.9295399485368,1.26475632523998e-06,0.000437456893671239,0.000437456893671239,"6513/9963/6566/160728/8884",5
"GO:0035461","vitamin transmembrane transport","3/25","19/18842",0.157894736842105,119.002105263158,18.7572394095626,1.97152870925191e-06,0.000644032711688958,0.000644032711688958,"9963/8884/10560",3
"GO:0006633","fatty acid biosynthetic process","5/25","178/18842",0.0280898876404494,21.1707865168539,9.85546812941032,3.24197223178189e-06,0.000953139836143877,0.000953139836143877,"32/31/2194/6319/47",5
"GO:0015718","monocarboxylic acid transport","5/25","178/18842",0.0280898876404494,21.1707865168539,9.85546812941032,3.24197223178189e-06,0.000953139836143877,0.000953139836143877,"60482/6513/6566/160728/8884",5
"GO:0035725","sodium ion transmembrane transport","5/25","191/18842",0.0261780104712042,19.7298429319372,9.48301733936173,4.57666561616924e-06,0.00128146637252739,0.00128146637252739,"6528/9963/160728/8884/6526",5
"GO:0044282","small molecule catabolic process","6/25","359/18842",0.0167130919220056,12.5963231197772,8.08589480924664,5.98229967976066e-06,0.0015989055507724,0.0015989055507724,"56922/32/6566/5095/5096/64087",6
"GO:0072330","monocarboxylic acid biosynthetic process","5/25","232/18842",0.021551724137931,16.2431034482759,8.51512425235257,1.1778071160913e-05,0.00301108949678993,0.00301108949678993,"32/31/2194/6319/47",5
"GO:0003018","vascular process in circulatory system","5/25","255/18842",0.0196078431372549,14.7780392156863,8.07420262414173,1.85849772999123e-05,0.0044801335052643,0.0044801335052643,"6513/6528/6566/8884/6526",5
"GO:0072329","monocarboxylic acid catabolic process","4/25","122/18842",0.0327868852459016,24.7108196721311,9.5767984477113,1.90481866720421e-05,0.0044801335052643,0.0044801335052643,"32/6566/5095/5096",4
"GO:0072522","purine-containing compound biosynthetic process","5/25","264/18842",0.0189393939393939,14.2742424242424,7.9169702982965,2.19579258467982e-05,0.00496586938381436,0.00496586938381436,"32/5095/31/2194/47",5
"GO:0015850","organic hydroxy compound transport","5/25","275/18842",0.0181818181818182,13.7032727272727,7.7349567013936,2.67085500537633e-05,0.00581652867837512,0.00581652867837512,"60482/6566/160728/6526/10560",5
"GO:0015698","inorganic anion transport","4/25","157/18842",0.0254777070063694,19.2020382165605,8.34776248218816,5.12016035473691e-05,0.0104691893622011,0.0104691893622011,"5172/6528/160728/8884",4
"GO:0006820","monoatomic anion transport","4/25","158/18842",0.0253164556962025,19.0805063291139,8.3186143168265,5.24846229553722e-05,0.0104691893622011,0.0104691893622011,"5172/6528/160728/8884",4
"GO:1901293","nucleoside phosphate biosynthetic process","5/25","318/18842",0.0157232704402516,11.8503144654088,7.11271300827949,5.34142314398015e-05,0.0104691893622011,0.0104691893622011,"32/5095/31/2194/47",5
"GO:0046394","carboxylic acid biosynthetic process","5/25","327/18842",0.0152905198776758,11.5241590214067,6.99755316083837,6.09759703075527e-05,0.0115657646905939,0.0115657646905939,"32/31/2194/6319/47",5
"GO:0016053","organic acid biosynthetic process","5/25","331/18842",0.0151057401812689,11.3848942598187,6.94780981775124,6.45913973613961e-05,0.0118686692651565,0.0118686692651565,"32/31/2194/6319/47",5
"GO:1901334","lactone metabolic process","2/25","10/18842",0.2,150.736,17.2633386980303,7.55622011628674e-05,0.01346381038902,0.01346381038902,"6513/9963",2
"GO:0072348","sulfur compound transport","3/25","66/18842",0.0454545454545455,34.2581818181818,9.86542318428621,8.9349351635286e-05,0.0154521819886906,0.0154521819886906,"5172/8884/10560",3
"GO:0015747","urate transport","2/25","12/18842",0.166666666666667,125.613333333333,15.7389865041875,0.000110644336489248,0.0185882485301937,0.0185882485301937,"9963/116085",2
"GO:0070837","dehydroascorbic acid transport","2/25","13/18842",0.153846153846154,115.950769230769,15.1118180850097,0.000130655131731136,0.0213403381827523,0.0213403381827523,"6513/9963",2
"GO:0046459","short-chain fatty acid metabolic process","2/25","14/18842",0.142857142857143,107.668571428571,14.5527540130952,0.00015230701269112,0.0242044658006428,0.0242044658006428,"5095/5096",2
"GO:0005996","monosaccharide metabolic process","4/25","220/18842",0.0181818181818182,13.7032727272727,6.90813137273001,0.000188691265540083,0.0291974905625181,0.0291974905625181,"5091/32/6513/9963",4
"GO:0006835","dicarboxylic acid transport","3/25","88/18842",0.0340909090909091,25.6936363636364,8.46303652809786,0.000210180743160915,0.0316887889688763,0.0316887889688763,"5172/6566/10560",3
"GO:0015936","coenzyme A metabolic process","2/25","18/18842",0.111111111111111,83.7422222222222,12.8013055217688,0.000255244687974418,0.0375209691322394,0.0375209691322394,"47/64087",2
"GO:0009062","fatty acid catabolic process","3/25","98/18842",0.0306122448979592,23.0718367346939,7.98485734781832,0.000288776560422226,0.0414147847629924,0.0414147847629924,"32/5095/5096",3
"GO:0015749","monosaccharide transmembrane transport","3/25","101/18842",0.0297029702970297,22.3865346534653,7.85509628809909,0.000315580167143798,0.0432734252722076,0.0432734252722076,"6513/9963/6526",3
"GO:1902001","fatty acid transmembrane transport","2/25","20/18842",0.1,75.368,12.1287208886144,0.000316455320868185,0.0432734252722076,0.0432734252722076,"6513/160728",2
"GO:0006520","amino acid metabolic process","4/25","271/18842",0.014760147601476,11.1244280442804,6.119053991889,0.000417254096367816,0.0549268356963538,0.0549268356963538,"56922/5095/5096/64087",4
"GO:0009083","branched-chain amino acid catabolic process","2/25","23/18842",0.0869565217391304,65.5373913043478,11.2881777683462,0.000420358436451687,0.0549268356963538,0.0549268356963538,"56922/64087",2
"GO:0034219","carbohydrate transmembrane transport","3/25","113/18842",0.0265486725663717,20.009203539823,7.38741734007578,0.000438746984591505,0.0560833102043054,0.0560833102043054,"6513/9963/6526",3
"GO:0008643","carbohydrate transport","3/25","116/18842",0.0258620689655172,19.491724137931,7.2816647113194,0.000473713681190112,0.0592646052212311,0.0592646052212311,"6513/9963/6526",3
"GO:0046949","fatty-acyl-CoA biosynthetic process","2/25","28/18842",0.0714285714285714,53.8342857142857,10.1976727933852,0.000625497482406889,0.0766234415948439,0.0766234415948439,"31/2194",2
"GO:0098656","monoatomic anion transmembrane transport","3/25","141/18842",0.0212765957446809,16.0357446808511,6.53204052296651,0.000836227042883966,0.100347245146076,0.100347245146076,"5172/6528/8884",3
"GO:0007584","response to nutrient","3/25","149/18842",0.0201342281879195,15.1747651006711,6.33164108546262,0.000981049138019903,0.115371378631141,0.115371378631141,"3141/6566/2194",3
"GO:0072337","modified amino acid transport","2/25","40/18842",0.05,37.684,8.46547717195541,0.00127818431977227,0.14736713333845,0.14736713333845,"8884/10560",2
"GO:0035337","fatty-acyl-CoA metabolic process","2/25","45/18842",0.0444444444444444,33.4968888888889,7.95519003008289,0.00161573633714571,0.182702493508015,0.182702493508015,"31/2194",2
