name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
CYSTEINE HYDROCHLORIDE,CHEMBL1200630,Cl.N[C@@H](CS)C(=O)O,-5.245594944226435,0.3441258639239604,
AMINOLEVULINIC ACID HYDROCHLORIDE,CHEMBL1200582,Cl.NCC(=O)CCC(=O)O,-5.170763917924495,0.3210635828330407,
DICLOFENAC SODIUM,CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-5.112695614381756,0.4573491955013256,c1ccc(Nc2ccccc2)cc1
CLONIDINE HYDROCHLORIDE,CHEMBL1705,Cl.Clc1cccc(Cl)c1NC1=NCCN1,-5.1117550652605415,0.3549801829531819,c1ccc(NC2=NCCN2)cc1
TOLAZOLINE HYDROCHLORIDE,CHEMBL1689,Cl.c1ccc(CC2=NCCN2)cc1,-5.052995961854123,0.3514536815908552,c1ccc(CC2=NCCN2)cc1
DICLOFENAC POTASSIUM,CHEMBL1200804,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],-5.037143694007559,0.4573491955013256,c1ccc(Nc2ccccc2)cc1
HISTAMINE DIHYDROCHLORIDE,CHEMBL1533310,Cl.Cl.NCCc1c[nH]cn1,-5.022809071473018,0.2878364791813682,c1c[nH]cn1
BETAZOLE HYDROCHLORIDE,CHEMBL1200949,Cl.NCCc1cc[nH]n1,-5.000276745239566,0.2892408034978503,c1cn[nH]c1
PRALIDOXIME CHLORIDE,CHEMBL748,C[n+]1ccccc1/C=N/O.[Cl-],-4.998468712647223,0.2635584588919958,c1cc[nH+]cc1
MERCAPTOPURINE,CHEMBL1200751,O.S=c1[nH]cnc2nc[nH]c12,-4.957365044826697,0.3063651893543158,S=c1[nH]cnc2nc[nH]c12
PHENMETRAZINE HYDROCHLORIDE,CHEMBL1200483,CC1NCCOC1c1ccccc1.Cl,-4.932206173820748,0.3124376035084575,c1ccc(C2CNCCO2)cc1
FELBINAC,CHEMBL413965,O=C(O)Cc1ccc(-c2ccccc2)cc1,-4.929843023883304,0.3928665954080642,c1ccc(-c2ccccc2)cc1
PYRITHIONE ZINC,CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],-4.924412936136306,0.2826623829092992,c1cc[nH+]cc1.c1cc[nH+]cc1
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,-4.891728843322305,0.2811281915407372,B1OCc2ccccc21
BETAHISTINE HYDROCHLORIDE,CHEMBL1446813,CNCCc1ccccn1.Cl.Cl,-4.852130285358686,0.2662127605229329,c1ccncc1
PYRIDOSTIGMINE BROMIDE,CHEMBL812,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],-4.832390459161918,0.2855031750767478,c1cc[nH+]cc1
TIPIRACIL HYDROCHLORIDE,CHEMBL65375,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.805703821977325,0.3260288000019465,N=C1CCCN1Cc1cc(=O)[nH]c(=O)[nH]1
NAPROXEN SODIUM,CHEMBL1200806,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],-4.791901203665019,0.2432638700929404,c1ccc2ccccc2c1
LORCASERIN HYDROCHLORIDE,CHEMBL2095211,C[C@H]1CNCCc2ccc(Cl)cc21.Cl,-4.791139748366018,0.2690419548012246,c1ccc2c(c1)CCNCC2
HYDRALAZINE HYDROCHLORIDE,CHEMBL542541,Cl.NNc1nncc2ccccc12,-4.776990482955596,0.3048434255101273,c1ccc2cnncc2c1
OXTRIPHYLLINE,CHEMBL1200434,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,-4.761511718154819,0.2604622914380762,O=c1[nH]c(=O)c2[n-]cnc2[nH]1
VILOXAZINE HYDROCHLORIDE,CHEMBL2106483,CCOc1ccccc1OCC1CNCCO1.Cl,-4.72447015907051,0.2985249998847566,c1ccc(OCC2CNCCO2)cc1
LOFEXIDINE HYDROCHLORIDE,CHEMBL1788132,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1.Cl,-4.717586142534133,0.2734502757084939,c1ccc(OCC2=NCCN2)cc1
DEXMETHYLPHENIDATE HYDROCHLORIDE,CHEMBL904,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl,-4.707243075713749,0.3098263584056751,c1ccc(C[C@H]2CCCCN2)cc1
METHYLPHENIDATE HYDROCHLORIDE,CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,-4.707243075713749,0.3098263584056751,c1ccc(CC2CCCCN2)cc1
BENZPHETAMINE HYDROCHLORIDE,CHEMBL3544906,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1.Cl,-4.705980382190561,0.3073360648833909,c1ccc(CCNCc2ccccc2)cc1
RASAGILINE MESYLATE,CHEMBL1201142,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,-4.673399097306516,0.2691198363533056,c1ccc2c(c1)CCC2
DEXKETOPROFEN,CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-4.649742414685164,0.322298448649669,O=C(c1ccccc1)c1ccccc1
BARBITAL SODIUM,CHEMBL2105904,CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.646193442215386,0.2770923099527705,O=C1CC(=O)NC(=O)[N-]1
VABORBACTAM,CHEMBL3317857,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,-4.643148845216001,0.3326330823127192,O=C(Cc1cccs1)N[C@@H]1BOCCC1
PILOCARPINE HYDROCHLORIDE,CHEMBL1200330,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,-4.625978877438143,0.2772382388243288,O=C1C[C@@H](Cc2cnc[nH]2)CO1
BUTABARBITAL SODIUM,CHEMBL1200982,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.601474277831914,0.2724381401777812,O=C1CC(=O)NC(=O)[N-]1
LEVOMILNACIPRAN HYDROCHLORIDE,CHEMBL2105732,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN.Cl,-4.59870317183609,0.3199226303190961,c1ccc(C2CC2)cc1
MILNACIPRAN HYDROCHLORIDE,CHEMBL4297064,CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl,-4.59870317183609,0.3199226303190961,c1ccc(C2CC2)cc1
TRIPELENNAMINE HYDROCHLORIDE,CHEMBL1200446,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,-4.586834085031022,0.2888070638131375,c1ccc(CNc2ccccn2)cc1
APRACLONIDINE HYDROCHLORIDE,CHEMBL1200379,Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,-4.584411242291907,0.3347008707205904,c1ccc(N=C2NCCN2)cc1
METRONIDAZOLE HYDROCHLORIDE,CHEMBL1200869,Cc1ncc([N+](=O)[O-])n1CCO.Cl,-4.58438897353833,0.2108312205727265,c1c[nH]cn1
AMIFOSTINE,CHEMBL1006,NCCCNCCSP(=O)(O)O,-4.545484439336928,0.2378214898915152,
PINACIDIL ANHYDROUS,CHEMBL1159,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,-4.543565553575503,0.2513369864497355,c1ccncc1
STIRIPENTOL,CHEMBL1983350,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,-4.543204798649369,0.284562477784943,c1ccc2c(c1)OCO2
ORNIDAZOLE,CHEMBL1449676,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,-4.5419733835069405,0.2297780257998337,c1c[nH]cn1
PYRIDOXINE HYDROCHLORIDE,CHEMBL1200756,Cc1ncc(CO)c(CO)c1O.Cl,-4.537850545114732,0.2098861933878782,c1ccncc1
PINACIDIL,CHEMBL1200338,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O,-4.533493176879834,0.2473411612602042,c1ccncc1
NITROFURANTOIN SODIUM,CHEMBL1201000,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],-4.519876720052829,0.2943953008128679,O=C1CN(/N=C/c2ccco2)C(=O)[N-]1
CYCLOPHOSPHAMIDE,CHEMBL1200796,O.O=P1(N(CCCl)CCCl)NCCCO1,-4.514295045691191,0.2994470067033665,O=[PH]1NCCCO1
PARALDEHYDE,CHEMBL1410743,CC1OC(C)OC(C)O1,-4.510689534941578,0.1910326674722311,C1OCOCO1
TRICLOFOS SODIUM,CHEMBL1200789,O=P([O-])(O)OCC(Cl)(Cl)Cl.[Na+],-4.508349409324493,0.2432536549867412,
DIPHENHYDRAMINE HYDROCHLORIDE,CHEMBL1620,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,-4.496610926129649,0.2829803196398832,c1ccc(Cc2ccccc2)cc1
FLURBIPROFEN SODIUM,CHEMBL3989754,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+],-4.496450126195999,0.2599351047579856,c1ccc(-c2ccccc2)cc1
ISAXONINE PHOSPHATE,CHEMBL1697751,CC(C)Nc1ncccn1.O=P(O)(O)O,-4.480626438687287,0.2004575504601443,c1cncnc1
METHAPYRILENE HYDROCHLORIDE,CHEMBL1255739,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,-4.475742958206509,0.2578663593713093,c1ccc(NCc2cccs2)nc1
HEXYLCAINE HYDROCHLORIDE,CHEMBL1200715,CC(CNC1CCCCC1)OC(=O)c1ccccc1.Cl,-4.452319237577421,0.2744284740101911,O=C(OCCNC1CCCCC1)c1ccccc1
RITODRINE HYDROCHLORIDE,CHEMBL1367605,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,-4.445429833299103,0.1765480895949014,c1ccc(CCNCCc2ccccc2)cc1
PHENYTOIN,CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.432207782832929,0.4093791142350275,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
SUPROFEN,CHEMBL956,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,-4.429375772384039,0.3239430328063704,O=C(c1ccccc1)c1cccs1
METHOHEXITAL SODIUM,CHEMBL30219,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],-4.418121571871734,0.2212140947737568,O=C1CC(=O)NC=N1
ARBUTAMINE,CHEMBL1201251,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,-4.40052457049647,0.2457763748278262,c1ccc(CCCCNCCc2ccccc2)cc1
ZOLEDRONIC ACID,CHEMBL4303669,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-4.36300010055048,0.2410160100677016,c1c[nH]cn1
DEXMEDETOMIDINE HYDROCHLORIDE,CHEMBL2106195,Cc1cccc([C@H](C)c2c[nH]cn2)c1C.Cl,-4.357752734371741,0.2587553561394229,c1ccc(Cc2c[nH]cn2)cc1
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,-4.356307454342487,0.3309450928369398,C1=Cc2ccccc2Nc2ccccc21
PHENAZOPYRIDINE HYDROCHLORIDE,CHEMBL1201022,Cl.Nc1ccc(/N=N/c2ccccc2)c(N)n1,-4.351990706755583,0.3285068836285152,c1ccc(/N=N/c2cccnc2)cc1
HISTAMINE PHOSPHATE,CHEMBL3989520,NCCc1c[nH]cn1.O=P(O)(O)O.O=P(O)(O)O,-4.350221092100144,0.2615843670200631,c1c[nH]cn1
ESKETAMINE HYDROCHLORIDE,CHEMBL2364609,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl,-4.334985693626092,0.2898614989515877,O=C1CCCCC1c1ccccc1
KETAMINE HYDROCHLORIDE,CHEMBL1714,CNC1(c2ccccc2Cl)CCCCC1=O.Cl,-4.334985693626092,0.2898614989515877,O=C1CCCCC1c1ccccc1
OXYMETAZOLINE HYDROCHLORIDE,CHEMBL1200791,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl,-4.329138355038782,0.2759122966371881,c1ccc(CC2=NCCN2)cc1
MASOPROCOL,CHEMBL313972,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,-4.324392645919085,0.2063000483876224,c1ccc(CCCCc2ccccc2)cc1
ROPINIROLE HYDROCHLORIDE,CHEMBL1200411,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,-4.321844582292086,0.3075228102212408,O=C1Cc2ccccc2N1
DIENESTROL,CHEMBL1018,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.320901390058878,0.2723158286936434,C=C(C(=C)c1ccccc1)c1ccccc1
PENBUTOLOL,CHEMBL1290,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,-4.319050641330058,0.2747292791532221,c1ccc(C2CCCC2)cc1
PHENIRAMINE,CHEMBL1193,CN(C)CCC(c1ccccc1)c1ccccn1,-4.317644643007049,0.3036129151853836,c1ccc(Cc2ccccn2)cc1
PRAMIPEXOLE DIHYDROCHLORIDE,CHEMBL3182733,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,-4.299409447231694,0.200267793321827,c1nc2c(s1)CCCC2
LEVOBUNOLOL HYDROCHLORIDE,CHEMBL1201177,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O.Cl,-4.297690499814697,0.25224351118433,O=C1CCCc2ccccc21
PIFOXIME,CHEMBL1998966,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,-4.296227714150659,0.2296439935297086,O=C(COc1ccccc1)N1CCCCC1
